Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C1210,3858mil,1883mil,3858mil,1883mil,3858mil,1936.15mil,Top,270,Cap
C2,C1210,3811mil,1415mil,3811mil,1415mil,3811mil,1361.85mil,Top,90,Cap
C3,C1210,3932mil,1415mil,3932mil,1415mil,3932mil,1468.15mil,Top,270,Cap
C4,C1210,4248mil,1380mil,4248mil,1380mil,4194.85mil,1380mil,Top,0,Cap
C5,C1210,4178mil,1922mil,4178mil,1922mil,4124.85mil,1922mil,Top,0,Cap
C6,C1210,3866mil,3676mil,3866mil,3676mil,3866mil,3729.15mil,Top,270,Cap
C7,C1210,3971mil,3221mil,3971mil,3221mil,3971mil,3167.85mil,Top,90,Cap
C8,C1210,3849mil,3221mil,3849mil,3221mil,3849mil,3274.15mil,Top,270,Cap
C9,C1210,4253mil,3184mil,4253mil,3184mil,4199.85mil,3184mil,Top,0,Cap
C10,C1210,4185mil,3720mil,4185mil,3720mil,4131.85mil,3720mil,Top,0,Cap
C11,C1210,3863mil,2793mil,3863mil,2793mil,3863mil,2846.15mil,Top,270,Cap
C12,C1210,3842mil,2320mil,3842mil,2320mil,3842mil,2266.85mil,Top,90,Cap
C13,C1210,3960mil,2320mil,3960mil,2320mil,3960mil,2373.15mil,Top,270,Cap
C14,C1210,4253mil,2280mil,4253mil,2280mil,4199.85mil,2280mil,Top,0,Cap
C15,C1210,4177mil,2819mil,4177mil,2819mil,4123.85mil,2819mil,Top,0,Cap
J1,PHOENIX_1935776,4816mil,3645mil,4816mil,3645mil,4816mil,3546.575mil,Bottom,90,StepperLeft A
J2,PHOENIX_1935776,3308mil,2558mil,3308mil,2558mil,3308mil,2656.425mil,Bottom,270,Power Input
J3,PHOENIX_1935776,4816mil,3194mil,4816mil,3194mil,4816mil,3095.575mil,Bottom,90,StepperLeft B
J4,PHOENIX_1935776,4815mil,2740mil,4815mil,2740mil,4815mil,2641.575mil,Bottom,90,StepperRight A
J5,PHOENIX_1935776,4817mil,2288mil,4817mil,2288mil,4817mil,2189.575mil,Bottom,90,StepperRight B
J6,PHOENIX_1935776,4816mil,1838mil,4816mil,1838mil,4816mil,1739.575mil,Bottom,90,Prop A
J7,PHOENIX_1935776,4816mil,1389mil,4816mil,1389mil,4816mil,1290.575mil,Bottom,90,Prop B
R1,RESC3126X65N,4483mil,1532mil,4483mil,1532mil,4483mil,1475.701mil,Top,90,RC1210FR-07523RL
R2,RESC3126X65N,3990mil,1889mil,3990mil,1889mil,3990mil,1832.701mil,Top,90,CRGP1210F1M0
R3,RESC5025X70N,3900mil,1574mil,3900mil,1574mil,3804.409mil,1574mil,Top,0,Res1
R4,RESC5025X70N,3901.409mil,1713mil,3901.409mil,1713mil,3805.819mil,1713mil,Top,0,Res1
R5,RESC3126X65N,4498mil,3334mil,4498mil,3334mil,4498mil,3277.701mil,Top,90,RC1210FR-07523RL
R6,RESC3126X65N,3999mil,3678mil,3999mil,3678mil,3999mil,3621.701mil,Top,90,CRGP1210F1M0
R7,RES_ERJ14RQJ1R0U,3932.087mil,3387mil,3932.087mil,3387mil,3864.173mil,3387mil,Top,0,Res1
R8,RES_ERJ14RQJ1R0U,3931.087mil,3515mil,3931.087mil,3515mil,3863.173mil,3515mil,Top,0,Res1
R9,RESC3126X65N,4497mil,2431mil,4497mil,2431mil,4497mil,2374.701mil,Top,90,RC1210FR-07523RL
R10,RESC3126X65N,3997mil,2797mil,3997mil,2797mil,3997mil,2740.701mil,Top,90,CRGP1210F1M0
R11,RES_ERJ14RQJ1R0U,3930mil,2488mil,3930mil,2488mil,3862.087mil,2488mil,Top,0,Res1
R12,RES_ERJ14RQJ1R0U,3929mil,2614mil,3929mil,2614mil,3861.087mil,2614mil,Top,0,Res1
U1,IC_TPS61196PWPRQ1,4250mil,1651mil,4250mil,1651mil,4139.764mil,1817.339mil,Top,0,DRV8841PWP
U2,IC_TPS61196PWPRQ1,4256mil,3450mil,4256mil,3450mil,4145.764mil,3616.339mil,Top,0,DRV8841PWP
U3,IC_TPS61196PWPRQ1,4250mil,2549mil,4250mil,2549mil,4139.764mil,2715.339mil,Top,0,DRV8841PWP
