Designator,Mid X,Mid Y,Layer,Rotation
C1,3858mil,1883mil,Top,270
C2,3811mil,1415mil,Top,90
C3,3932mil,1415mil,Top,270
C4,4248mil,1380mil,Top,0
C5,4178mil,1922mil,Top,0
C6,3866mil,3676mil,Top,270
C7,3971mil,3221mil,Top,90
C8,3849mil,3221mil,Top,270
C9,4253mil,3184mil,Top,0
C10,4185mil,3720mil,Top,0
C11,3863mil,2793mil,Top,270
C12,3842mil,2320mil,Top,90
C13,3960mil,2320mil,Top,270
C14,4253mil,2280mil,Top,0
C15,4177mil,2819mil,Top,0
J1,4816mil,3645mil,Bottom,90
J2,3308mil,2558mil,Bottom,270
J3,4816mil,3194mil,Bottom,90
J4,4815mil,2740mil,Bottom,90
J5,4817mil,2288mil,Bottom,90
J6,4816mil,1838mil,Bottom,90
J7,4816mil,1389mil,Bottom,90
R1,4483mil,1532mil,Top,90
R2,3990mil,1889mil,Top,90
R3,3900mil,1574mil,Top,0
R4,3901.409mil,1713mil,Top,0
R5,4498mil,3334mil,Top,90
R6,3999mil,3678mil,Top,90
R7,3932.087mil,3387mil,Top,0
R8,3931.087mil,3515mil,Top,0
R9,4497mil,2431mil,Top,90
R10,3997mil,2797mil,Top,90
R11,3930mil,2488mil,Top,0
R12,3929mil,2614mil,Top,0
U1,4250mil,1651mil,Top,0
U2,4256mil,3450mil,Top,0
U3,4250mil,2549mil,Top,0
